järjestys,id,slides,etape,placename fi,placename en,time en,narrator,receiver,narratortxt fi,narratortxt en,fulltext fi,konekäännös,fulltext en,txtlength,source,page,fileid,imagefilename,tech-temp,folder,technique,imagecreator en,kuvan nimi tai kuvateksti fi,image title or caption en,imageyear,collection en,imgorigurl,photographer en,license
27,28,,assignment,,"Brickhouse, Nairobi",,kirsti,,Kirsti kertoo kirjassaan,,"Pöydän valkoiselle liinalle kokoontui sadoittain erilaisia hyönteisiä öljylampun houkuttelemina. Näitä keräsimme ahkerasti ja pistimme spriipurkkiin; ne lahjoitettiin sitten Helsingin yliopistolle kuten myös monet eläinten nahat ja sarvet, jotka otettiin talteen isän ampumista eläimistä. Ellei kuulunut paikallisten laulua, ääntelivät sirkat ja sammakot voimakkaasti, joten elämää oli ympärilämme yöt, päivät.","Table with a white cloth met hundreds of different insects attracted by an oil lamp. These collected diligently and we put spriipurkkiin; then they were donated to the University of Helsinki, as well as many animal skins and horns, which was collected by shooting the father of the animals. Unless belonged to the local singing, vocalise crickets and frogs strongly, so life was ympärilämme nights, days.",,410,tropiikki,302,GKM_VV_4012,GKM_VV_4012_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,,"Mary, Kirsti Jorma and Paita boy sitting on the porch of the Brickhouse, handling specimen.",,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
28,29,,road,"Ukamba, Nairobi","Brickhouse, Nairobi",,kirsti,,Kirsti kertoo kirjassaan,,"Jo varhain aamulla heräsimme kikuijujen lauluun; kaupungin puhtaanapitäjät hoilottivat voimakkaalla äänellä: ”Haaeaee, haa hee haa, haehaejaa...” Sitten saapuivat kikuijunaiset kylistään kantaen selässään raskaita taakkoja polvet koukussa, taakan päällä joskus pikkulapsi niskaa vasten nuokkuen. ","Already early in the morning we woke up kikuijujen song; city ​​clean keepers hoilottivat a loud voice: ""Haaeaee, hee haa haa, haehaejaa ..."" Then came kikuijunaiset villages, carrying heavy loads on his back with knees bent, the burden on the infant, sometimes against the neck nuokkuen.",,296,muistelmat,49,GKM_VV_4137,GKM_VV_4137_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,"Maantie Nairobiin, taustassa kotimme Brickhouse","The Nairobi Road. Brick house, our home, in the background",,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
29,30,,road,,"Brickhouse, Nairobi",,kirsti,,Kirsti kertoo kirjassaan,,"Heidän ruskeat nahkapukunsa läiskähtelivät sääriä vasten, punamultaan sekoitetusta lampaanhäntärasvasta märkinä. Nämä kosteat vaipat olivat viileitä keskipäivän hehkuvassa kuumuudessa. Leveät siniset helmivyöt levittäytyivät kauniisti lanteille ja edessä oli pieni näkinkengin koristettu viiri.","Their brown leather dress läiskähtelivät against the legs, red soil mixed sheep fat like wet. These wet diapers were cool in the midday with fervent heat. The wide blue pearl belts spread out nicely in front of the hips and had a small banner decorated with seashells.",,294,muistelmat,49,GKM_VV_4192,GKM_VV_4192_1.png,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
30,31,42,road,,"Brickhouse, Nairobi",,kirsti,,Kirsti kertoo kirjassaan,,"Korvakoruina heillä oli vaaleanpunaisista lasihelmistä tehdyt moninkertaiset renkaat. Säärissä polvien alapuolella oli messinkikorut 5 cm:n levyisinä spiraaleina, samoin leveämmät käsivarsissa.","Earrings they had multiple rings made of pink glass beads. The legs below the knees Brass was 5 cm in width spirals, and the wider arms.",,193,muistelmat,49,gkm194,gkm194.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Kikuju-nainen,Kikuyu Woman,1909,Private collection,,Douglas Sivén,
31,32,43,road,,"Brickhouse, Nairobi",August 1909,kirsti,,Kirsti kertoo kirjassaan,,"Kaunein näky oli massai-sotilaiden kevyt juoksuaskelkulku pitkät keihäät käsissään. Tämä jokapäiväinen ihmisvirta tarttui silmämuistiini ja inspiroi piirtelemään varsinkin suahelinaisten hulmuavia liinoja. Kun iltaisin pesin isän siveltimiä, oli mielestäni sääli tuhlata niissä olevaa paksua öljyväriä, joten tuhrin sen kauppapussien paperille. Siitä syntyi kikuijunaisia ym. kuvia. – Isä ei maalannut tai piirtänyt koskaan suahelinaisia. Hän sanoi: ”Mitäs minä niitä piirrän, kun Kirsti tekee sen paljon paremmin!”","The most beautiful sight was lightweight running step running Massai-soldiers with long spears in their hands. This daily flow of people grabbed silmämuistiini and inspired to doodle on, especially suahelinaisten swaying cloths. When the father in the evenings washer brushes, I think it was a shame to waste them on the thick oil color, so tuhrin its commercial paper bags. It was born kikuijunaisia ​​et al. Pictures. - Father is never painted or drawn by suahelinaisia. He said: ""What shall I draw them, when Kirsti makes it a lot better""",,515,muistelmat,50,gkm158,gkm158.tif,watercolour,Käyttökuvat,watercolour,Akseli Gallen-Kallela,Masai-soturi,Maasai Warrior,1909,Private collection,,Douglas Sivén,
32,33,,road,Nairobi,Nairobi,September 1909,kirsti,,Kirsti kertoo kirjassaan,,"Joskus oli aavikolla vähän matkan päässä kodistamme englantilaisten kilparatsastukset. Niihin oli yhdistetty paikallisten asukkaiden juhlat: eri heimot, kikujut, nandit, kavirondot, njamuesit, wataitat ym. olivat kokoontuneet omiin ryhmiinsä koristettuina ja punamullalla maalattuina, miekat vyöllä, keihäät käsissään ja kilvet käsivarsissaan. Kilpien alareunassa oli ulkonema, johon käsivarsi pujotettiin, ja keskellä oli pieni tirkistysreikä. ","Sometimes in the desert was a little distance from our home English kilparatsastukset. They were connected to the local residents festivities: the different tribes, Kikuyu, nandit, kavirondot, njamuesit, wataitat and others had gathered in their groups ornamented and painted with red ocher, swords in his belt, his hands spears and shields on their arms.. at the bottom of the plates was a projection, which was threaded arm, and in the middle was a small peephole.",,445,tropiikki,310,GKM_VV_4151,GKM_VV_4151_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,Kansanjuhla ratsastuskilpailun yhteydessä,Folk festival at a horce race near our home.,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
33,34,,road,,Nairobi,September 1909,kirsti,,Kirsti kertoo kirjassaan,,"Kilparatsastus ei kiinnostanut meitä vähääkään, vaan tanssit, joissa he tosiaan päästivät valloilleen koko elämänilonsa villeine hihkaisuineen ja korkeine hyppyineen. Olimme kaikki katselemassa näitä tansseja ja isä maalasi niitä.","Horse Racing did not interest us in the least bit, but dances, where they really unleashed the whole joy of life villeine hihkaisuineen and with high jumps. We were all watching these dances and father painted them.",,230,tropiikki,311,gkm146,gkm146.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Tanssivia kikujusotilaita,Dancing Kikuyu Warriors,1909,Finnish National Gallery,http://kokoelmat.fng.fi/app?lang=fi&si=http%3A%2F%2Fkansallisgalleria.fi%2FE42_Object_Identifier%2FA_III_2171,Douglas Sivén,
34,35,,home,"Brickhouse, Nairobi","Brickhouse, Nairobi",June 1909,kirsti,,Kirsti kertoo kirjassaan,,"Joskus tehtiin matkoja pienelle joelle, joka solisi arolla tunnin kävelymatkan päässä. Tältä joelta kantoi Nganga suuret määrä kuivuneita papyrusruokoja ja valmisti niistä kuistillemme kaihtimet. Kyykkysillään hän istui pihalla appelsiinipuun alla suu mutussa tärkeydestä ja solmi ruokoja yhteen. Hän oli ylpeä ja tyytyväinen, kun ne ripustettiin kuistille suojaamaan ruokapöytäämme auringolta.","Sometimes the trips were made to a small river, which solisi plains hour walk away. This river was carrying Nganga large amount of dried-papyrusruokoja and made an kuistillemme blinds. Squatting, he sat under a tree in the courtyard of orange mouth mutussa the importance of reeds and tie together. He was proud and happy when they are hung up on the porch to protect our tables from the sun.",,394,tropiikki,302,GKM_VV_4039,GKM_VV_4039_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,,Jorma and Kirsti drink chocolate on the veranda of the Brick house,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
35,36,,home,"Brickhouse, Nairobi","Brickhouse, Nairobi",August 1909,kirsti,,Kirsti kertoo kirjassaan,,"Kenosua oli veljeni pyssynkantaja, kun tämä teki retkiä ympäristöön. Sekä hän, Jorma että pikku nandi-poika Kamaue loistivat ylpeydestä saapuessaan kotiin ensimmäisen gasellinsa kanssa. ","Kenosua was my brother's gun carrier when this made trips to the environment. Both he, Mr. Nandi that little-boy Kamaue glowed with pride upon arrival at home with the first gasellinsa.",,186,tropiikki,301,GKM_VV_4057,GKM_VV_4057_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,Jorman ensi gazelli,"Jorma Gallen-Kallela, Nandi boy Kamaue and Jorma's gunbearer Kenosua return from a hunting trip.",,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
36,37,,home,"Brickhouse, Nairobi","Brickhouse, Nairobi",November 1909,kirsti,,Kirsti kertoo kirjassaan,,"Koulussa meitä oli ankarasti kielletty puhumasta suahelin kieltä toisten lasten kanssa, jotta oppisimme englantia, mutta väliajalla unohdimme käskyt ja saimme nuhteita. Meidät saattoi kouluun tanssiva ja laulava Kenosua, joka kantoi kirjojamme ja sadeaikana kannatti yllämme suurta vihreätä päivänvarjoa. Valkoisethan maan tavan mukaan eivät silloin saaneet kantaa muuta kuin juomavesipulloaan.","At school we were strictly forbidden to speak the language suahelin with other children, in order to learn English, but the intermission we forgot the commandments and admonitions we got. We were brought to school dancing and singing Kenosua, who carried our books, and rain upon us in the favor of a large green parasol. The white of the usage, have no time received a position other than juomavesipulloaan.",,394,muistelmat,53,GKM_VV_4203_1_mita,GKM_VV_4203_1_mita.png,photograph,Kuvat,photograph,,,Kenosua,1909,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
37,38,,home,,"Brickhouse, Nairobi",1909,kirsti,,Kirsti kertoo kirjassaan,,"Kenosualla oli yllään ruskea, lyhyt vaippa, aina kostea punasavesta ja rasvasta, kuten hän itsekin. Se roikkui toiselta olalta roomalaisen togan tavoin, tukka oli puolipitkä, sekin punaiseksi rasvattu ja kiehkuroille punottu. Korνien ylälehtiin tehtyihin reikiin hän oli pujottanut kolme ruokopilliä ja toiseen alalehteen valkoisen vaseliinipurkin. Hänellä oli käsivarsissaan messinkikiehkurat ja siniset helmet kaulallaan.","Kenosualla was wearing a brown, short jacket, always moist red clay and grease, as she herself. It hung from another shoulder like a Roman Toga, the hair was long side, too, red greased and whorls braided. holes in the upper leaves Korνien he had threaded the three ruokopilliä another basal leaves and white vaseliinipurkin. He had on their arms messinkikiehkurat and blue beads kaulallaan.",,423,tropiikki,301,D-DEP-Kenosua,D-DEP-Kenosua_2.tif,pastel,Käyttökuvat,pastel,Akseli Gallen-Kallela,Kikujupalvelija Kenosua,"Portrait of Kenosua, a Kikuyu Servant",1909‒1910,Private collection,,Jukka Paavola,
38,39,,home,,Nairobi,January 1910,kirsti,,Kirsti kertoo kirjassaan,,"Mrs. Heyer lähetti Jormalle laatikon, jossa oli pieni mungo, sama eläin, josta Kipling kertoo Rikki-tikki-tavi-nimisenä Viidakkokirjassaan. Sen häntä oli poikki, mutta muuten se oli virkeä ja kesyyntyi niin pian, että jonkun päivän kuluttua juoksenteli vapaana pihalla. Se piti hyvää huolta kanoista: kun haukka liiteli taivaalla, se päästi pitkän, kimeän kirkaisun ja kanat tottelivat heti juosten siivet ojolla talon alle. Talon alla oli käärmeen pesä, josta mungo teki lopun. Mutta gepardille se ei voinut mitään. Tämä pikimusta, leopardin sukuinen eläin hiipi yöllä kanojemme kimppuun ja vei sieltä yhden kerrallaan.
Se istui retkillä äidin hameen taskussa pienen pään pistäessä ulos reunan yli ja virkeiden silmien vilkuessa joka taholle. Se äänteli herttaisesti kun puhuimme sille ja ymmärsi kaiken kuin kesy koira. Se piti kovasti imelästä ја löysi sitä usein äidin ompelukorista, jonne hän oli pistänyt suklaapalan. Siellä Rali pyöri ja rapsutteli ja lankarullat kieirivät pitkin lattiaa. ","Mrs. Heyer sent to Jorma box with a small mungo, the same animal, which tells Kipling sulfur-stitch-teal under the name Jungle book. Its tail was broken, but otherwise it was a high-spirited and kesyyntyi as soon as possible, that after a day of running around free in the yard. It took good care of chickens: when the hawk flew in the sky, it let out a long, kimeän scream and chickens obeyed immediately running to the wings ojolla under the house. Under the house was a snake's nest, which put an end mongoose. But the Cheetahs, it could not nothing. This jet black, leopard genus of animal creeping at night kanojemme attacked and took from there one at a time.
It sat trips breast pocket of the small end of the skirt thrusting out over the edge of the eye and the sentence is flashing in all directions. It makes a noise graciously when we talked about it and understood everything like a tame dog. It was very fond of sweet ја found it is often the mother's sewing basket, where he was stung by a piece of chocolate. There Rali rotation and petting, and thread spools kieirivät all over the floor.",,997,tropiikki,305–306,eph10,rikki-tikki-tavi.jpg,repro,Kuvat,,,,"Image from page 209 of ""The jungle book"" (1894)",,,,,
39,40,,home,,Ukamba,July 1910,kirsti,,Kirsti kertoo kirjassaan,,"Brickhousen lähellä kasvoi kuivia piikkipensaita, joitten piikkeihin suuret heinäsirkat seivästyivät. Oksilla kiipeilevät sisiliskot ahmivat niitä. Pensaissa oli myös tummanruskeita pahkuroita. Sellaisesta sain mainion pään kikuijunukkeeni, kun Isä oli ensin korjaillut sen nenää. Akaasiapuun haaraoksasta sain nukelleni vartalon, jonka ympärille kiedoin khakikankaasta pehmikettä. Tietenkin lampaanhäntärasvaan ja punamultaan kastettuna. Tein nukelle korvakorut ja muut koristeet kikuijuhelmistä alkuperäismallien mukaan. Gasellin korvanahasta sain nahkaisen puvun, ja eläimen suonesta tein päänauhan samoin menetelmin kuin kikuijut. Nukella oli monta pukua, myös suahelipuku. ","Brick House Near grew dry thorn bushes among whom the tines large crickets seivästyivät. Branches climbing lizards devoured them. Bush was also dark brown bumps. I got such a good move head kikuijunukkeeni, when Father was first making corrections to its nose. Acacia tree haaraoksasta I got nukelleni body, around which I wrapped khakikankaasta cushion. Of course, lampaanhäntärasvaan and red soil baptized. I made a doll earrings and other ornaments kikuijuhelmistä according to the original model. I got my ear gazelle leather with a leather suit, and a vein of an animal I did headband same methods as kikuijut. The doll was for many a suit, also suahelipuku.",,678,muistelmat,51,GKM_VV_4008,GKM_VV_4008_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,Sisilisko sirkka suussa molemmat läpäistyinä akaasianeulaseen.,"A lizard with a cricket in it's mouth, both pierced by a wattle's spike.",,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
40,41,,home,,"Brickhouse, Nairobi",1909,kirsti,,Kirsti kertoo kirjassaan,,"Kenosua tahtoi välttämättä ostaa pienen nukkeni, joka sulki ja avasi silmänsä: sen hän olisi vienyt kotiväelleen jumalankuvaksi. Kun sanoin: »Hii apána Ngai», – eihän tämä ole Jumala – hän myönsi sen, ja kysyessäni missä hänen jumalansa oli, hän aloitti villin tanssin ja ojensi käsivarsiaan taivasta kohti. »Uko Ngai, uko.» – Tuolla Jumala, tuolla.","Kenosua necessarily wanted to buy a small doll, which is closed and opened his eyes: he would have taken it home at my house in the image of God. When I said: 'Hii Apana Ngai », - this is it not God - he admitted it, and when I asked where he was a god, he began a wild dance and stretched out his arms toward the sky. »Uko Ngai, Uko» -. There's God, right there.",,349,tropiikki,301,gkm196,gkm196.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Taivaaseen kurkottava musta käsi,Black Hand reaching for the Sky,1909‒1910,Private collection,,Douglas Sivén,
41,42,,home,,Tana River,June 1910,kirsti,,Kirsti kertoo kirjassaan,,"Jännittävää oli kaivella varpaiden kynsien reunoista hietakärpäsen munia. Nämä kärpäset löytävät tiensä ihmisten varpaisiin. Yölläkin nukutaan jalat pussissa. Asiaa ei aavista ennen kuin viikon tai parin kuluttua, jolloin varvas alkaa kutista ja punoittaa. Kutiaminen on aivan sietämätöntä ja lopulta jalka paisuu niin ettei se mahdu enää kenkään. Silloin on aika, ellei ennen, antaa poikien kaivaa herneenkokoinen munasäiliö pois. Tämän he tekivätkin hakaneulalla hyvin taitavasti ja suurella innolla. Mutta minäpä en antanutkaan heidän sitä tehdä, vaan operoin itse sillä seurauksella, että ohutkalvoinen herne meni rikki ja jokunen muna jäi sen jättämään kuoppaan. Ja niin alkoi verenmyrkytys, joten lopulta ei auttanut muu kuin lähteä rikshalla »hospitaaliin».","Exciting was digging through the toe nail edges of the sand fly eggs. These flies find their way into people's toes. Even at night people sleep feet in a bag. It has not think not before a week or two, when the toe is red and begins to shrink. Itching is just unbearable and finally on foot swells so that it no longer fit in the shoe. That is the time, if not before, to give the boys dig a pea-sized egg tank. This they did, with a safety pin very cleverly and with great enthusiasm. But I did not give it their all to make, but's serving themselves, with the result that the thin-film pea was broken and a few egg was left to leave the pit. And so began the blood poisoning, so in the end did not help other than to leave rikshalla »Hospitaal».",,764,tropiikki,310,GKM_VV_4002,GKM_VV_4002_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,Mustat operoivat varmuusneulalla taitavasti pois santakärpäsen toukat varvaskynsien alta.,The boys are removing sandfly eggs with a safety pin.,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
42,43,,home,"Brickhouse, Nairobi","Brickhouse, Nairobi",1909,kirsti,,Kirsti kertoo kirjassaan,,"Jos kuu paistoi, emme malttaneet olla sisällä, vaan leikimme palvelijoiden kanssa piilosta juosten talon ja peltisen keittiöhökkelin ympäri. Rakennuksen pihanpuoleisissa nurkissa oli valtavat, aaltopellistä tehdyt vesisäiliöt, joihin kokoontui vesi sadeaikana. Alareunassa oli hana, ja nämä kaksi 4 000 litraa vetävää säiliötä olivat vesivarastona kuivana aikana. Näiden pyöreiden, talonkorkuisten tynnyrien taakse ja lomiin oli jännittävää piiloutua. – – – Kokkimme Muanika, sisäpalvelija Masaria ja apupoika Paita ottivat tähän leikkiin osaa. Meillähän ei muita tovereita ollutkaan, sillä englantilaiset koulutoverimme eivät käyneet luonamme, koska emme myöskään seurustelleet heidän vanhempiensa kanssa.","If the moon was shining, we will not be willing to stay inside, but we are playing hide and seek with the servants running around the house and a sheet metal keittiöhökkelin. pihanpuoleisissa in the corners of the building was huge, water tanks made of corrugated metal sheets, which met the water during rain. At the bottom of the faucet, and the two of 4 000 liters of tractive container were the water reservoir during dry periods. These round, talonkorkuisten barrels behind the holidays and it was exciting to hide. - - - Our chefs Muanika, the interior minister Masaria and Apupoika shirt took part in this play. We do, not the other comrades was not, as the British schoolmates did not go with us, because we do not see each other with their parents.",,706,tropiikki,308,IX 008,,watercolour / black & white photo,,,Akseli Gallen-Kallela,,,,Private collection,,,
43,44,,kill,,Ukamba,1909,kirsti,,Kirsti kertoo kirjassaan,,"Kun isä maalasi, piteli Nganga suurta päivänvarjoa; keskipäivän aikaan oli  mahdotonta löytää suojaa miltään taholta, sillä aurinko paistoi  suoraan taivaankuvusta heittäen pyöreän varjon jalkojen juureen.","When the father painted, Nganga was holding a large parasol; about noon, it was impossible to find protection from any body, because the sun was shining directly taivaankuvusta, casting a round shadow on the feet.",,205,tropiikki,302,GKM_VV_4001_a_b,GKM_VV_4001_a_b_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,,Akseli Gallen-Kallela painting and Nganga holding a parasol.,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
44,45,,kill,,Ukamba,1909,akseli,,,,,#VALUE!,,0,,,gkm201,gkm201.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Kamelin luuranko arolla,Remains of a Dead Camel,1909,Gallen-Kallela Museum,,Douglas Sivén,
45,46,,kill,,Nairobi,September 1909,kirsti,,Kirsti kertoo kirjassaan,,"Metsästysretkiä oli tehtävä aika ajoin saadaksemme lihaa ja silloin palvelijamme tanssivat ja lauloivat innoissaan: ”Bwana-kubva nenda piga njáma.” (Suuri herra menee tekemään lihaa.) Aiti oli Bibi-kubva, Jorma Bwana-kidogo ja minä Bibikidogo.","Hunting trips had to be made from time to time in order to get the meat and then the worshipers danced and sang excitedly. ""Bwana-kubva nenda piga njáma."" (Mr. Big goes into making meat) The mother was Bibi-kubva, Jorma Bwana-Kidogo and I Bibikidogo.",,243,muistelmat,52,GKM_VV_4248,GKM_VV_4248_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
46,47,,kill,,Ukamba,September 1909,kirsti,,Kirsti kertoo kirjassaan,,"Näiltä retkiltä oli aina palattava hyvissä ajoin ennen auringonlaskua, sillä hämärää kesti vain hetken. Pimeä tuli aivan yllättäen kuin musta väliverho olisi vedetty taivaan eteen ja varjelkoon sitä, joka silloin oli arolle jäänyt! Ei puita, ei maamerkkiä – avaruus vain ympärillä pilkkopimeässä, ja hetken kuluttua nälkäiset shakaalit ja hyeenat ulvomassa kuin maasta poljettuina ympärillä. Ne olivat yhtä häikäilemättömiä kuin sudet pohjolassa.","On these outings was always a good time to return before sunset, the twilight lasted only a moment. The dark came quite unexpectedly, like a black curtain had been pulled in front of the sky and keep it, which then had remained straight in the desert! No trees, no landmark - a space just around the pitch-black, and a moment later the hungry jackals and hyenas howling like a trampled around the country. They were just as ruthless as wolves in the North.",,446,muistelmat,52,IX 086,,drawing / back & white photo,,,Akseli Gallen-Kallela,,,,Private collection,,,
47,48,,kill,,Ukamba,1909,akseli,,Akseli kertoo kirjassaan,,"Kerran retkeillessämme saavuimme papyros-ruohistoon, jossa rupesimme ajamaan takaa näkemiämme ns. pahka-sikoja, mutta emme päässeet niitä lähellekään. Jorma tahtoi ottaa itselleen papyros-ruokoja, ja pari, kolme sellaista oli hänelle jo täysi taakka. Nämä ovat kauniita monen metrin pituisia ruohoja ruskeine suomuslehtineen. Siinä kävellessämme minä sain kiikariini gasellilauman ja rupesin kulkemaan lounaiseen päin pitkin aaltoilevaa aroa ja annoin pyssynkantajalleni kikuiju Ngangalle käskyn pitää silmällä lasta siihen saakka, kunnes palaan.","Once we arrived we hiked papyros-Ruohisto, where we began to chase see each so-called. gnarl-pigs, but we could not get anywhere near them. Jorma wanted to take over the papyros-reeds, and a couple of, three of those were already full burden to him. These are beautiful multi-meters long grasses ruskeine suomuslehtineen. It walked gasellilauman I got the binoculars and began to run toward the southwest along the undulating steppes and gave pyssynkantajalleni kikuiju Ngangalle command to keep an eye on children, until I come back.",,546,afrikka,38–39,IX 027,,watercolour / black & white photo,,,Akseli Gallen-Kallela,,,,Private collection,,,
48,49,,kill,,Ukamba,1909,akseli,,Akseli kertoo kirjassaan,,"Gasellit vetäytyivät aina vain yhä kauemmas. Siinä kun niitä ajan, huomaan, että aika on kulunut nopeasti ja aurinko lähenee taivaan rantaa lähettäen ihanan välkkyvät punaisenoranssiset värinsä yli koko lakeuden, jossa jo taempana näkyvät vuoret olivat jääneet maapallon varjoon.
Yhtäkkiä tuli Nganga luokseni, ja silloin värähti sydämeni. Rupesin juoksemaan sinnepäin, mistä hän tuli ja minne poikani oli jäänyt. Tiesin, että jokin minuutti vielä niin hukka olisi perinyt aikuisenkin, joka joutuisi arolle yöksi, saati lapsen ilman tulen ja aseiden turvaa. Juoksin henkeni hädässä kummulta kummulle katsellen kaikkialle ja olin jo niin tuskainen, etten olisi enää saanut ääntä kurkustani, kun samassa kaukaa näin pienen miehenalun taapertavan eteenpäin yltyvän hämärän keskellä, sillä aurinko laski parhaillaan. Jorma siinä tulla laahusteli papyros-ruokojansa kantaen ja näin, että hänen voimansa olivat aivan lopussa. Otin hänet syliini ja juosten saavutin Ngangan, jolle latelin raivokkaasti kaikki tuntemani suahelin-kieliset voimasanat.","Gazelles always retreated only further and further away. In the time when they are, I see that time has passed quickly and the sun is approaching shore sky sending a wonderfully flash punaisenoranssiset color over the whole of the plain, which already appear on the mountains had remained in the shadow of the Earth behind.
Nganga suddenly came up to me, and when my heart trembled. I started to run like that, where he came from and where my son had missed. I knew that any minute yet, so the waste would be inherited and adults, who would be straight in the desert at night, let alone a child without arms fire and security. I ran my spirit in distress kummulta hill, looking everywhere and I was so pained that I would no longer receive your throat, when the same from a distance saw a little man originally taapertavan forward yltyvän in the middle of twilight, as the sun is being dropped. Jorma it to become laahusteli papyros-ruokojansa, carrying and saw that his forces were at the very end. I took her in my arms and running I reached Ngangan, which latelin furiously all I know suahelin-String power of words.",,1041,afrikka,39–41,gkm362,gkm362.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Ilta-aurinko Ukamban arolla,,1909,Private collection,,,
49,89,,kill,,,,,,,,,#VALUE!,,,,,GKM_VV_4102,GKM_VV_4102_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,Kenosua hoitaa nahkoja ja keittää eläinten kalloja.,Kenosua tends to animal skins and boils their skulls near Brickhouse in Nairobi.,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
50,50,,trip,,Voi,December 1909,kirsti,,Kirsti kertoo kirjassaan,,"Joulukuussa Isä lähti harjoitussafarille Kilimandžaron suunnalle Mr. Heyerin kanssa, joka oli suurriistanmetsästäjä ja jolla oli safarivarustekauppa Nairobissa. He viipyivät tällä retkellä kokonaisen kuukauden ja viettivät joulunkin erämaassa. Siksi ajaksi muutimme rouva Heyerin luo Nairobiin.","In December, Father went harjoitussafarille Kilimandžaron direction with Mr. Heyerin, which was the big-game hunter and had a safari equipment shop in Nairobi. They stayed on this trip for a whole month and even spent Christmas in the desert. That's why we moved for the duration of Mrs. Heyerin creates Nairobi.",,294,muistelmat,54,gkm198,gkm198.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Tropiikin aurinko,,1909,Private collection,,Douglas Sivén,
51,51,,trip,,Voi,December 1909,akseli,,Akseli kertoo kirjassaan,,"Ohjelmaamme kuului matkustaa ensin rautateitse Voihin ja sieltä aloittaa retkemme jalkaisin, ensin Kilima-Ndjaron suunnalle, missä sanottiin olevan viljalti puhveleja, sarvikuonoja ja norsuja. Sieltä suunnattaisiin retki luoteeseen päin rautatien pohjoispuoleiselle alueelle ja poikettaisiin matkan varrella Makinduun ottamaan mukaan muulimme. Sitten jatkettaisiin Athi-jokea pitkin aina Donya Sabukin vuoren pohjoispuolitse Tana-joelle saakka.","Our program was to travel first by train butter and from there to start our trip on foot, first Kilima-Ndjaron direction, which was said to be plenty of buffalos, rhinos and elephants. From there, the tour be directed towards the north-west of the railroad to the northern side of the box and create exceptions along the way, according to Makindu muulimme. Then continue the Athi along the river until Donya Sabukin mountain north Tana River.",,444,afrikka,70,gkm149,gkm149.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Donia Sabuk -vuori,Mt. Donia Sabuk,1909,Finnish National Gallery,http://kokoelmat.fng.fi/app?lang=fi&si=http%3A%2F%2Fkansallisgalleria.fi%2FTeos_5BFB0B72-2C8D-436E-BF06-338BDA9D41B9,Douglas Sivén,
